,meteorite_name,recclass,mass_g,impact_year,retclat,reclong
435,Karewar,L6,180,1949,12.9,7.15
436,Karkh,L6,"22,000",1905,27.8,67.16667
437,Karloowala,L6,"2,950",1955,31.58333,71.6
438,Karoonda,CK4,"41,730",1930,-35.08333,139.91667
439,Kasamatsu,H,710,1938,35.36667,136.76667
440,Kasauli,H4,"16,820",2003,29.58333,77.58333
441,Katagum,L6,"1,500",1999,11.33333,10.08333
442,Kavarpura,"Iron, IIE-an","6,800",2006,25.14333,75.81333
443,Kayakent,"Iron, IIIAB","85,000",1961,39.26333,31.78
444,Kediri,L4,"3,300",1940,-7.75,112.01667
445,Kemer,L4,"5,760",2008,36.54194,29.41822
446,Kendleton,L4,"6,937",1939,29.45,-96
447,Kendrapara,H4-5,"6,669.20",2003,20.4625,86.70278
448,Kerilis,H5,"5,000",1874,48.4,-3.3
449,Kernouve,H6,"80,000",1869,48.11667,-3.08333
450,Kesen,H4,"135,000",1850,38.98333,141.61667
451,Khairpur,EL6,"13,600",1873,29.53333,72.3
452,Khanpur,LL5,"3,698",1932,25.55,83.11667
453,Kharkov,L6,"1,500",1787,50.625,35.075
454,Kheragur,L6,450,1860,26.95,77.88333
455,Khetri,H6,100,1867,28.01667,75.81667
456,Khmelevka,L5,"6,109",1929,56.75,75.33333
457,Khohar,L3.6,"9,700",1910,25.1,81.53333
458,Khor Temiki,Aubrite,"3,200",1932,16,36
459,Kidairat,H6,"100,000",1983,14,28
460,Kiel,L6,737.6,1962,54.4,10.15
461,Kiffa,H5,"1,500",1970,16.58333,-11.33333
462,Kijima (1906),Stone-uncl,331,1906,36.85,138.38333
463,Kikino,H6,195,1809,55,34
464,Kilabo,LL6,"19,000",2002,12.76667,9.8
465,Kilbourn,H5,772,1911,43.58333,-89.6
466,Killeter,H6,140,1844,54.66667,-7.66667
467,Kingai,H6,67.4,1967,11.63333,24.68333
468,Kirbyville,Eucrite-mmict,97.7,1906,30.75,-95.95
469,Kisvarsány,L6,"1,550",1914,48.16667,22.30833
470,Kitchener,L6,202.6,1998,43.38333,-80.38333
471,Klein-Wenden,H6,"3,250",1843,51.6,10.8
472,Knyahinya,L/LL5,"500,000",1866,48.9,22.4
473,Kobe,CK4,136,1999,34.73333,135.16667
474,Kokubunji,L6,"11,510",1986,34.3,133.95
475,Komagome,Iron,238,1926,35.73333,139.75
